ID_Prodi,NIP_Dosen,Nama_Dosen,Jabatan_Fungsional,Nama_Prodi,StartDate,EndDate,IsCurrent,ID_Prodi 
1,191465001972557481,AHMAD HERLAMBANG,Lektor,Sains Data,2025-11-24 22:41:03,,1,1
2,192582183762267432,FARHAN PUTRA,Lektor,Sains Data,2025-11-24 22:41:03,,1,1
3,193995716677332310,ANDI SANTOSO,Lektor,Sains Data,2025-11-24 22:41:03,,1,1
4,196980453846363978,ANDI UTAMI,Lektor,Sains Data,2025-11-24 22:41:03,,1,1
5,190446873220613749,RINA RAMADHAN,Lektor,Sains Data,2025-11-24 22:41:03,,1,1
6,190301748125360163,LESTARI SANTOSO,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
7,191099035199813866,MARIA UTAMI,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
8,195674528593811427,RINA SARI,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
9,194810950725557178,YUSUF SAPUTRA,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
10,194330635589497137,NANDA NUGROHO,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
11,192420085253420117,DEWI HERLAMBANG,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
12,194174974566690377,LESTARI PUTRA,Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
13,199756571338081592,HENDRA HERLAMBANG,Belum Jabfung,Sains Data,2025-11-24 22:41:03,,1,1
14,192794638388418315,JOKO PUTRA,Belum Jabfung,Sains Data,2025-11-24 22:41:03,,1,1
15,192930591486702092,DIAN WIJAYA,Belum Jabfung,Sains Data,2025-11-24 22:41:03,,1,1
16,194308694811414265,FARHAN PERMATA,Belum Jabfung,Sains Data,2025-11-24 22:41:03,,1,1
17,197938053098997328,TONO MAHENDRA,Proses Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
18,199989944482279717,LESTARI WIJAYA,Proses Asisten Ahli,Sains Data,2025-11-24 22:41:03,,1,1
19,198629546729743951,WATI AULIA,Proses Lektor,Sains Data,2025-11-24 22:41:03,,1,1
20,196856302853864936,ANDI MAHENDRA,Proses Lektor,Sains Data,2025-11-24 22:41:03,,1,1
21,197454797167026796,HENDRA PRATAMA,Proses Lektor,Sains Data,2025-11-24 22:41:03,,1,1
22,196359805145511670,WATI HIDAYAT,Lektor Kepala,Matematika,2025-11-24 22:41:03,,1,2
23,196015933845503210,FARHAN PERMATA,Lektor,Matematika,2025-11-24 22:41:03,,1,2
24,197418837544528527,ANDI SAPUTRA,Lektor,Matematika,2025-11-24 22:41:03,,1,2
25,196470770594690583,RIZKA SANTOSO,Lektor,Matematika,2025-11-24 22:41:03,,1,2
26,190355969304744869,MARIA FADILAH,Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
27,190684706475610161,BUDI WIJAYA,Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
28,198021834361199008,NOVI PRATAMA,Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
29,192773624551686103,SITI SAPUTRA,Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
30,192017879216382265,LESTARI AULIA,Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
31,197020005299856604,ANDI AULIA,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
32,191666695275654106,ANDI PERMATA,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
33,195642671110978959,WATI HIDAYAT,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
34,194418943980531157,BUDI NUGROHO,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
35,191400852033766596,ANDI SARI,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
36,190326547542661852,PUTRI WIJAYA,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
37,190856744632415503,LESTARI FADILAH,Belum Jabfung,Matematika,2025-11-24 22:41:03,,1,2
38,194652111092367153,RIZKA NUGROHO,Proses Asisten Ahli,Matematika,2025-11-24 22:41:03,,1,2
39,194720531674832173,ANDI SANTOSO,Proses Lektor,Matematika,2025-11-24 22:41:03,,1,2
40,196694911420352495,NOVI RAMADHAN,Proses Lektor,Matematika,2025-11-24 22:41:03,,1,2
41,197378465112283464,WATI AULIA,Proses Lektor,Matematika,2025-11-24 22:41:03,,1,2
42,193445875560510332,RIZKI UTAMI,Proses Lektor,Matematika,2025-11-24 22:41:03,,1,2
43,199392977296590967,DIAN SAPUTRA,Lektor,Fisika,2025-11-24 22:41:03,,1,3
44,199577293953773456,TONO RAMADHAN,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
45,196212745775341650,RINA PRATAMA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
46,198405236539215166,FARHAN NUGROHO,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
47,196213673097642109,FARHAN PRATAMA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
48,191953397456424384,NANDA MAHENDRA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
49,193356021677717456,NOVI PERMATA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
50,190275163200117449,JOKO WIJAYA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
51,195009325227221912,LESTARI SANTOSO,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
52,191583353900515510,JOKO SAPUTRA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
53,198301878806418441,BUDI MAHENDRA,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
54,192589097651271375,YUSUF UTAMI,Asisten Ahli,Fisika,2025-11-24 22:41:03,,1,3
55,198330319712898643,ANDI WIJAYA,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
56,195398673352859165,WATI UTAMI,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
57,190867909326076628,SITI PUTRA,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
58,193001347966755392,YUSUF PERMATA,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
59,195458989998158250,LESTARI PUTRA,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
60,195084281049407643,FARHAN SARI,Belum Jabfung,Fisika,2025-11-24 22:41:03,,1,3
