ID_Mahasiswa,NIM,Nama_Mahasiswa,Status,Nama_Prodi,StartDate,EndDate,IsCurrent,ID_Prodi,,
1,12301001,Tono Santoso,Aktif,Sains Data,2025-11-24 22:07:15,,1,1,,
2,12102001,Indra Sihombing,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,108
3,12003001,Agus Hutabarat,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,108
4,12304001,Clara Mahendra,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,118
5,12305001,Maria Nainggolan,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,135
6,12406001,Lestari Lestari,Aktif,Farmasi,2025-11-24 22:07:15,,1,6,,139
7,12407001,Dewi Siregar,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
8,12408001,Galih Wibowo,Cuti,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
9,12009001,Maria Hutabarat,Aktif,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
10,12401002,Lestari Pratama,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
11,12202002,Galih Pratama,Cuti,Matematika,2025-11-24 22:07:15,,1,2,,
12,12103002,Hadi Gunawan,Drop Out,Fisika,2025-11-24 22:07:15,,1,3,,
13,12204002,Evi Pratama,Cuti,Kimia,2025-11-24 22:07:15,,1,5,,
14,12005002,Hadi Siregar,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
15,12006002,Nanda Susanto,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
16,12107002,Citra Anggraini,Lulus,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
17,12008002,Ahmad Wijaya,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
18,12409002,Eka Hutapea,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
19,12201003,Yusuf Saputra,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
20,12202003,Hadi Hutapea,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
21,12303003,Indra Santoso,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
22,12104003,Galih Hutabarat,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
23,12405003,Nanda Wijaya,Drop Out,Biologi,2025-11-24 22:07:15,,1,4,,
24,12106003,Yusuf Gunawan,Cuti,Farmasi,2025-11-24 22:07:15,,1,6,,
25,12107003,Putri Gunawan,Lulus,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
26,12008003,Bayu Setiawan,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
27,12309003,Utami Siregar,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
28,12201004,Tono Sihombing,Drop Out,Sains Data,2025-11-24 22:07:15,,1,1,,
29,12002004,Fajar Mahendra,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
30,12003004,Lestari Santoso,Aktif,Fisika,2025-11-24 22:07:15,,1,3,,
31,12104004,Sari Siregar,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
32,12005004,Lestari Mahendra,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
33,12306004,Fajar Hutabarat,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
34,12307004,Maria Nasution,Aktif,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
35,12408004,Budi Susanto,Aktif,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
36,12309004,Yusuf Anggraini,Lulus,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
37,12201005,Dewi Purwanto,Lulus,Sains Data,2025-11-24 22:07:15,,1,1,,
38,12102005,Fajar Mahendra,Lulus,Matematika,2025-11-24 22:07:15,,1,2,,
39,12103005,Fajar Wibowo,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
40,12204005,Fajar Wibowo,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
41,12005005,Fina Simanjuntak,Lulus,Biologi,2025-11-24 22:07:15,,1,4,,
42,12306005,Bayu Wijaya,Lulus,Farmasi,2025-11-24 22:07:15,,1,6,,
43,12107005,Fina Wijaya,Cuti,Sains Lingkungan Kelautan,2025-11-24 22:07:15,,1,7,,
44,12408005,Agus Mahendra,Drop Out,Sains Atmosfer Keplanetan,2025-11-24 22:07:15,,1,8,,
45,12009005,Ika Wijaya,Drop Out,Sains Aktuaria,2025-11-24 22:07:15,,1,9,,
46,12001006,Budi Simanjuntak,Cuti,Sains Data,2025-11-24 22:07:15,,1,1,,
47,12202006,Eka Susanto,Drop Out,Matematika,2025-11-24 22:07:15,,1,2,,
48,12303006,Clara Mahendra,Cuti,Fisika,2025-11-24 22:07:15,,1,3,,
49,12204006,Dewi Hutapea,Drop Out,Kimia,2025-11-24 22:07:15,,1,5,,
50,12405006,Citra Sihombing,Cuti,Biologi,2025-11-24 22:07:15,,1,4,,
